Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J2",PinHeader_2x05_FTSH-105-01-L-DV-K,2,Cortex-Debug,
J3,2x5_2.54mm_side,1,Conn_02x05_Counter_Clockwise,
